,label
857,29
858,182
859,191
860,24
861,11
862,29
863,95
864,9
865,128
866,95
867,73
868,82
869,0
870,113
871,35
872,101
873,98
874,93
875,81
876,131
877,164
878,15
879,197
880,90
881,152
882,10
883,30
884,74
885,105
886,59
887,103
888,17
889,126
890,61
891,10
892,10
893,92
894,3
895,198
896,112
897,127
898,141
899,199
900,80
901,170
902,177
903,29
904,117
905,196
906,3
907,143
908,41
909,96
910,47
911,67
912,154
913,131
914,142
915,31
916,61
917,131
918,122
919,61
920,100
921,99
922,105
923,16
924,21
925,164
926,35
927,20
928,135
929,179
930,141
931,94
932,18
933,85
934,112
935,140
936,16
937,21
938,8
939,95
940,32
941,85
942,38
943,27
944,120
945,66
946,25
947,152
948,28
949,57
950,77
951,80
952,177
953,165
954,104
955,66
956,60
957,116
958,111
959,2
960,120
961,85
962,38
963,69
964,119
965,16
966,152
967,31
968,18
969,25
970,43
971,77
972,17
973,45
974,130
975,40
976,112
977,122
978,85
979,80
980,126
981,61
982,24
983,73
984,24
985,37
986,118
987,169
988,131
989,69
990,112
991,94
992,106
993,34
994,25
995,98
996,64
997,86
998,188
999,141
1000,18
1001,86
1002,123
1003,74
1004,160
1005,92
1006,21
1007,95
1008,73
1009,123
1010,7
1011,4
1012,127
1013,61
1014,122
1015,131
1016,99
1017,35
1018,199
1019,186
1020,106
1021,197
1022,86
1023,131
1024,59
1025,120
1026,17
1027,29
1028,57
1029,17
1030,53
1031,82
1032,2
1033,181
1034,78
1035,111
1036,101
1037,109
1038,151
1039,120
1040,144
1041,112
1042,34
1043,2
1044,72
1045,130
1046,67
1047,117
1048,75
1049,93
1050,0
1051,86
1052,169
1053,169
1054,191
1055,80
1056,6
1057,131
1058,74
1059,86
1060,76
1061,162
1062,34
1063,85
1064,50
1065,19
1066,80
1067,35
1068,64
1069,135
1070,188
1071,105
1072,25
1073,101
1074,11
1075,47
1076,48
1077,17
1078,191
1079,93
1080,107
1081,93
1082,127
1083,11
1084,47
1085,95
1086,157
1087,24
1088,161
1089,163
1090,105
1091,191
1092,50
1093,131
1094,123
1095,20
1096,105
1097,152
1098,154
1099,13
1100,77
1101,77
1102,39
1103,86
1104,184
1105,173
1106,163
1107,99
1108,96
1109,85
1110,120
1111,66
1112,80
1113,114
1114,177
1115,77
1116,40
1117,154
1118,32
1119,123
1120,25
1121,156
1122,55
1123,56
1124,18
1125,53
1126,50
1127,82
1128,184
1129,143
1130,141
1131,131
1132,45
1133,128
1134,3
1135,109
1136,123
1137,127
1138,108
1139,81
1140,13
1141,186
1142,88
1143,13
1144,16
1145,80
1146,169
1147,73
1148,60
1149,52
1150,108
1151,196
1152,130
1153,164
1154,72
1155,131
1156,89
1157,153
1158,16
1159,157
1160,96
1161,118
1162,29
1163,29
1164,86
1165,66
1166,149
1167,13
1168,142
1169,76
1170,100
1171,116
1172,146
1173,98
1174,29
1175,103
1176,29
1177,96
1178,88
1179,52
1180,131
1181,73
1182,33
1183,70
1184,152
1185,152
1186,24
1187,66
1188,35
1189,52
1190,55
1191,33
1192,49
1193,67
1194,84
1195,139
1196,61
1197,117
1198,120
1199,78
1200,81
1201,105
1202,144
1203,70
1204,108
1205,93
1206,131
1207,15
1208,120
1209,89
1210,122
1211,17
1212,107
1213,129
1214,179
1215,34
1216,121
1217,66
1218,164
1219,141
1220,11
1221,60
1222,85
1223,7
1224,142
1225,51
1226,184
1227,43
1228,16
1229,101
1230,103
1231,45
1232,7
1233,52
1234,150
1235,52
1236,86
1237,161
1238,153
1239,31
1240,46
1241,43
1242,7
1243,173
1244,82
1245,59
1246,0
1247,104
1248,99
1249,44
1250,86
1251,176
1252,83
1253,22
1254,31
1255,128
1256,12
1257,150
1258,169
1259,57
1260,191
1261,152
1262,63
1263,72
1264,174
1265,153
1266,95
1267,47
1268,165
1269,164
1270,93
1271,67
1272,121
1273,159
1274,160
1275,168
1276,120
1277,27
1278,25
1279,52
1280,94
1281,34
1282,52
1283,159
1284,132
1285,179
1286,52
1287,119
1288,25
1289,131
1290,158
1291,82
1292,35
1293,96
1294,100
1295,76
1296,133
1297,128
1298,95
1299,113
1300,16
1301,169
1302,135
1303,160
1304,128
1305,107
1306,98
1307,53
1308,199
1309,99
1310,98
1311,31
1312,90
1313,49
1314,37
1315,29
1316,43
1317,30
1318,40
1319,12
1320,82
1321,52
1322,176
1323,162
1324,196
1325,112
1326,102
1327,152
1328,86
1329,175
1330,6
1331,152
1332,131
1333,115
1334,188
1335,179
1336,112
1337,76
1338,0
1339,95
1340,177
1341,76
1342,49
1343,58
1344,190
1345,116
1346,59
1347,86
1348,18
1349,49
1350,44
1351,13
1352,60
1353,25
1354,128
1355,143
1356,86
1357,17
1358,174
1359,68
1360,128
1361,0
1362,3
1363,34
1364,29
1365,169
1366,16
1367,81
1368,183
1369,23
1370,59
1371,71
1372,183
1373,33
1374,158
1375,142
1376,4
1377,31
1378,25
1379,94
1380,16
1381,81
1382,53
1383,118
1384,60
1385,73
1386,198
1387,199
1388,34
1389,126
1390,49
1391,177
1392,165
1393,131
1394,103
1395,77
1396,152
1397,15
1398,67
1399,35
1400,116
1401,94
1402,191
1403,112
1404,24
1405,151
1406,184
1407,61
1408,128
1409,79
1410,164
1411,93
1412,59
1413,2
1414,176
1415,122
1416,3
1417,24
1418,17
1419,52
1420,169
1421,131
1422,49
1423,103
1424,49
1425,49
1426,59
1427,106
1428,79
1429,85
1430,140
1431,176
1432,193
1433,85
1434,177
1435,95
1436,128
1437,82
1438,73
1439,99
1440,40
1441,72
1442,183
1443,29
1444,49
1445,131
1446,24
1447,8
1448,128
1449,76
1450,104
1451,110
1452,4
1453,34
1454,35
1455,149
1456,85
1457,130
1458,117
1459,163
1460,114
1461,44
1462,140
1463,57
1464,43
1465,72
1466,197
1467,47
1468,101
1469,81
1470,169
1471,73
1472,32
1473,131
1474,77
1475,24
1476,169
1477,174
1478,123
1479,145
1480,140
1481,103
1482,40
1483,28
1484,108
1485,2
1486,130
1487,31
1488,141
1489,103
1490,60
1491,47
1492,131
1493,70
1494,86
1495,82
1496,165
1497,104
1498,100
1499,105
1500,73
1501,0
1502,88
1503,98
1504,95
1505,88
1506,62
1507,39
1508,170
1509,112
1510,99
1511,49
1512,31
1513,83
1514,160
1515,119
1516,67
1517,74
1518,61
1519,86
1520,73
1521,58
1522,81
1523,188
1524,169
1525,11
1526,177
1527,25
1528,50
1529,100
1530,117
1531,40
1532,9
1533,105
1534,65
1535,95
1536,81
1537,169
1538,46
1539,103
1540,47
1541,113
1542,93
1543,67
1544,31
1545,92
1546,179
1547,29
1548,43
1549,111
1550,199
1551,89
1552,90
1553,95
1554,163
1555,98
1556,188
1557,77
1558,37
1559,77
1560,142
1561,95
1562,186
1563,189
1564,100
1565,14
1566,35
1567,26
1568,96
1569,180
1570,122
1571,28
1572,197
1573,131
1574,50
1575,119
1576,21
1577,90
1578,31
1579,5
1580,9
1581,138
1582,158
1583,69
1584,40
1585,58
1586,112
1587,3
1588,76
1589,59
1590,135
1591,33
1592,43
1593,12
1594,57
1595,171
1596,17
1597,59
1598,175
1599,4
1600,44
1601,50
1602,86
1603,6
1604,99
1605,131
1606,25
1607,79
1608,122
1609,170
1610,16
1611,85
1612,53
1613,98
1614,101
1615,186
1616,152
1617,152
1618,174
1619,105
1620,95
1621,80
1622,28
1623,100
1624,199
1625,53
1626,120
1627,1
1628,61
1629,184
1630,31
1631,188
1632,73
1633,117
1634,190
1635,143
1636,188
1637,35
1638,60
1639,29
1640,169
1641,157
1642,99
1643,186
1644,131
1645,69
1646,162
1647,32
1648,131
1649,100
1650,83
1651,184
1652,117
1653,24
1654,101
1655,130
1656,22
1657,120
1658,108
1659,49
1660,99
1661,81
1662,29
1663,98
1664,74
1665,44
1666,77
1667,123
1668,119
1669,73
1670,35
1671,87
1672,99
1673,44
1674,199
1675,60
1676,164
1677,22
1678,103
1679,69
1680,24
1681,128
1682,95
1683,17
1684,48
1685,142
1686,69
1687,131
1688,66
1689,108
1690,81
1691,3
1692,127
1693,75
1694,86
1695,16
1696,128
1697,151
1698,158
1699,67
1700,178
1701,24
1702,66
1703,95
1704,32
1705,13
1706,4
1707,95
1708,120
1709,28
1710,119
1711,177
1712,81
1713,61
1714,45
1715,100
1716,114
1717,3
1718,66
1719,66
1720,15
1721,43
1722,14
1723,105
1724,59
1725,120
1726,130
1727,176
1728,189
1729,184
1730,162
1731,117
1732,40
1733,135
1734,17
1735,116
1736,150
1737,0
1738,43
1739,112
1740,17
1741,131
1742,163
1743,47
1744,120
1745,68
1746,86
1747,186
1748,113
1749,70
1750,119
1751,128
1752,143
1753,141
1754,177
1755,103
1756,93
1757,49
1758,123
1759,131
1760,151
1761,105
1762,142
1763,52
1764,49
1765,112
1766,131
1767,100
1768,116
1769,128
1770,194
1771,59
1772,197
1773,21
1774,59
1775,30
1776,175
1777,76
1778,142
1779,15
1780,45
1781,66
1782,128
1783,130
1784,72
1785,177
1786,62
1787,153
1788,162
1789,98
1790,16
1791,100
1792,141
1793,89
1794,80
1795,66
1796,96
1797,70
1798,42
1799,82
1800,73
1801,199
1802,196
1803,152
1804,35
1805,79
1806,123
1807,25
1808,100
1809,145
1810,6
1811,88
1812,112
1813,46
1814,55
1815,16
1816,170
1817,94
1818,25
1819,112
1820,111
1821,157
1822,3
1823,102
1824,144
1825,72
1826,199
1827,191
1828,39
1829,130
1830,6
1831,116
1832,20
1833,47
1834,22
1835,68
1836,25
1837,73
1838,18
1839,35
1840,184
1841,80
1842,103
1843,80
1844,150
1845,95
1846,106
1847,169
1848,141
1849,90
1850,16
1851,12
1852,4
1853,108
1854,112
1855,24
1856,177
1857,177
1858,17
1859,115
1860,70
1861,53
1862,101
1863,73
1864,0
1865,85
1866,49
1867,82
1868,61
1869,103
1870,85
1871,24
1872,113
1873,100
1874,24
1875,118
1876,86
1877,35
1878,100
1879,14
1880,70
1881,118
1882,85
1883,73
1884,49
1885,86
1886,99
1887,75
1888,158
1889,73
1890,149
1891,18
1892,30
1893,66
1894,69
1895,70
1896,114
1897,119
1898,82
1899,35
1900,177
1901,128
1902,130
1903,112
1904,49
1905,4
1906,96
1907,49
1908,108
1909,112
1910,73
1911,190
1912,164
1913,123
1914,93
1915,108
1916,100
1917,72
1918,13
1919,102
1920,7
1921,121
1922,130
1923,86
1924,77
1925,131
1926,66
1927,25
1928,49
1929,81
1930,30
1931,163
1932,178
1933,106
1934,21
1935,29
1936,47
1937,96
1938,73
1939,5
1940,128
1941,4
1942,179
1943,116
1944,50
1945,116
1946,163
1947,25
1948,174
1949,86
1950,53
1951,53
1952,53
1953,53
1954,53
1955,29
1956,29
1957,29
1958,29
1959,29
1960,29
1961,29
1962,29
1963,29
1964,29
1965,29
1966,35
1967,35
1968,35
1969,35
1970,35
1971,35
1972,35
1973,35
1974,35
1975,24
1976,24
1977,24
1978,24
1979,24
1980,24
1981,24
1982,24
1983,24
1984,24
1985,40
1986,40
1987,40
1988,40
1989,40
1990,40
1991,40
1992,40
1993,17
1994,17
1995,17
1996,17
1997,17
1998,17
1999,17
2000,17
2001,17
2002,49
2003,49
2004,49
2005,49
2006,49
2007,49
2008,49
2009,49
2010,49
2011,49
2012,49
2013,49
2014,16
2015,16
2016,16
2017,16
2018,16
2019,16
2020,16
2021,16
2022,16
2023,16
2024,16
2025,11
2026,11
2027,11
2028,11
2029,11
2030,11
2031,54
2032,54
2033,54
2034,54
2035,61
2036,61
2037,61
2038,61
2039,61
2040,61
2041,61
2042,25
2043,25
2044,25
2045,25
2046,25
2047,25
2048,25
2049,25
2050,25
2051,25
2052,25
2053,18
2054,18
2055,18
2056,18
2057,18
2058,0
2059,0
2060,0
2061,0
2062,0
2063,0
2064,0
2065,32
2066,32
2067,32
2068,32
2069,32
2070,32
2071,2
2072,2
2073,2
2074,2
2075,2
2076,3
2077,3
2078,3
2079,3
2080,3
2081,3
2082,3
2083,3
2084,9
2085,9
2086,9
2087,9
2088,9
2089,9
2090,34
2091,34
2092,34
2093,34
2094,34
2095,34
2096,34
2097,4
2098,4
2099,4
2100,4
2101,4
2102,30
2103,30
2104,30
2105,30
2106,30
2107,50
2108,50
2109,50
2110,50
2111,50
2112,50
2113,13
2114,13
2115,13
2116,13
2117,13
2118,52
2119,52
2120,52
2121,52
2122,52
2123,52
2124,52
2125,52
2126,28
2127,28
2128,28
2129,28
2130,28
2131,28
2132,28
2133,60
2134,60
2135,60
2136,60
2137,60
2138,60
2139,60
2140,60
2141,60
2142,20
2143,20
2144,20
2145,31
2146,31
2147,31
2148,31
2149,31
2150,31
2151,44
2152,44
2153,44
2154,44
2155,44
2156,44
2157,8
2158,8
2159,8
2160,8
2161,8
2162,23
2163,23
2164,23
2165,59
2166,59
2167,59
2168,59
2169,59
2170,59
2171,59
2172,10
2173,10
2174,10
2175,6
2176,6
2177,6
2178,6
2179,15
2180,15
2181,15
2182,15
2183,15
2184,45
2185,45
2186,45
2187,45
2188,45
2189,21
2190,21
2191,21
2192,21
2193,21
2194,26
2195,26
2196,26
2197,26
2198,26
2199,58
2200,58
2201,58
2202,58
2203,58
2204,5
2205,5
2206,5
2207,5
2208,38
2209,38
2210,38
2211,38
2212,38
2213,7
2214,7
2215,7
2216,7
2217,7
2218,14
2219,14
2220,14
2221,37
2222,37
2223,37
2224,48
2225,48
2226,48
2227,48
2228,177
2229,177
2230,177
2231,177
2232,177
2233,177
2234,177
2235,157
2236,157
2237,157
2238,157
2239,157
2240,169
2241,169
2242,169
2243,169
2244,169
2245,169
2246,169
2247,169
2248,151
2249,151
2250,151
2251,151
2252,151
2253,165
2254,165
2255,165
2256,165
2257,165
2258,165
2259,163
2260,163
2261,163
2262,163
2263,163
2264,163
2265,163
2266,152
2267,152
2268,152
2269,152
2270,152
2271,152
2272,152
2273,152
2274,164
2275,164
2276,164
2277,164
2278,164
2279,164
2280,64
2281,64
2282,64
2283,150
2284,150
2285,150
2286,150
2287,150
2288,188
2289,188
2290,188
2291,188
2292,188
2293,184
2294,184
2295,184
2296,184
2297,184
2298,184
2299,171
2300,171
2301,171
2302,162
2303,162
2304,162
2305,162
2306,162
2307,159
2308,159
2309,159
2310,186
2311,186
2312,186
2313,186
2314,186
2315,186
2316,174
2317,174
2318,174
2319,174
2320,174
2321,174
2322,161
2323,161
2324,161
2325,132
2326,132
2327,132
2328,63
2329,63
2330,63
2331,63
2332,172
2333,172
2334,172
2335,65
2336,65
2337,65
2338,134
2339,134
2340,134
2341,62
2342,62
2343,62
2344,62
2345,183
2346,183
2347,183
2348,183
2349,183
2350,141
2351,141
2352,141
2353,141
2354,141
2355,141
2356,146
2357,146
2358,146
2359,146
2360,156
2361,156
2362,156
2363,143
2364,143
2365,143
2366,143
2367,143
2368,158
2369,158
2370,158
2371,158
2372,158
2373,138
2374,138
2375,138
2376,142
2377,142
2378,142
2379,142
2380,142
2381,142
2382,182
2383,182
2384,182
2385,182
2386,144
2387,144
2388,144
2389,153
2390,153
2391,153
2392,153
2393,153
2394,135
2395,135
2396,135
2397,135
2398,135
2399,160
2400,160
2401,160
2402,160
2403,176
2404,176
2405,176
2406,176
2407,176
2408,176
2409,179
2410,179
2411,179
2412,179
2413,179
2414,179
2415,155
2416,155
2417,155
2418,133
2419,133
2420,133
2421,136
2422,136
2423,136
2424,166
2425,166
2426,166
2427,140
2428,140
2429,140
2430,140
2431,140
2432,175
2433,175
2434,175
2435,175
2436,148
2437,148
2438,148
2439,180
2440,180
2441,180
2442,170
2443,170
2444,170
2445,170
2446,170
2447,86
2448,86
2449,86
2450,86
2451,86
2452,86
2453,86
2454,86
2455,86
2456,86
2457,86
2458,86
2459,86
2460,86
2461,85
2462,85
2463,85
2464,85
2465,85
2466,85
2467,85
2468,85
2469,85
2470,85
2471,100
2472,100
2473,100
2474,100
2475,100
2476,100
2477,100
2478,100
2479,100
2480,100
2481,100
2482,66
2483,66
2484,66
2485,66
2486,66
2487,66
2488,66
2489,66
2490,66
2491,66
2492,66
2493,66
2494,95
2495,95
2496,95
2497,95
2498,95
2499,95
2500,95
2501,95
2502,95
2503,95
2504,80
2505,80
2506,80
2507,80
2508,80
2509,80
2510,80
2511,80
2512,80
2513,131
2514,131
2515,131
2516,131
2517,131
2518,131
2519,131
2520,131
2521,131
2522,131
2523,131
2524,131
2525,131
2526,131
2527,131
2528,131
2529,73
2530,73
2531,73
2532,73
2533,73
2534,73
2535,73
2536,73
2537,73
2538,73
2539,73
2540,73
2541,73
2542,73
2543,120
2544,120
2545,120
2546,120
2547,120
2548,120
2549,120
2550,120
2551,70
2552,70
2553,70
2554,70
2555,70
2556,70
2557,70
2558,101
2559,101
2560,101
2561,101
2562,101
2563,101
2564,101
2565,101
2566,101
2567,101
2568,106
2569,106
2570,106
2571,106
2572,106
2573,106
2574,106
2575,92
2576,92
2577,92
2578,92
2579,117
2580,117
2581,117
2582,117
2583,117
2584,117
2585,117
2586,108
2587,108
2588,108
2589,108
2590,108
2591,108
2592,108
2593,89
2594,89
2595,89
2596,89
2597,74
2598,74
2599,74
2600,74
2601,74
2602,74
2603,74
2604,74
2605,67
2606,67
2607,67
2608,67
2609,67
2610,67
2611,67
2612,122
2613,122
2614,122
2615,122
2616,122
2617,122
2618,81
2619,81
2620,81
2621,81
2622,81
2623,81
2624,81
2625,81
2626,128
2627,128
2628,128
2629,128
2630,128
2631,128
2632,128
2633,128
2634,128
2635,128
2636,128
2637,128
2638,82
2639,82
2640,82
2641,82
2642,82
2643,82
2644,82
2645,96
2646,96
2647,96
2648,96
2649,96
2650,96
2651,96
2652,96
2653,96
2654,96
2655,96
2656,99
2657,99
2658,99
2659,99
2660,99
2661,99
2662,99
2663,99
2664,116
2665,116
2666,116
2667,116
2668,116
2669,116
2670,116
2671,105
2672,105
2673,105
2674,105
2675,105
2676,105
2677,105
2678,105
2679,105
2680,98
2681,98
2682,98
2683,98
2684,98
2685,98
2686,98
2687,98
2688,121
2689,121
2690,121
2691,121
2692,123
2693,123
2694,123
2695,123
2696,123
2697,123
2698,123
2699,123
2700,123
2701,77
2702,77
2703,77
2704,77
2705,77
2706,77
2707,77
2708,77
2709,77
2710,68
2711,68
2712,68
2713,68
2714,90
2715,90
2716,90
2717,90
2718,90
2719,78
2720,78
2721,78
2722,71
2723,71
2724,71
2725,102
2726,102
2727,102
2728,93
2729,93
2730,93
2731,93
2732,93
2733,93
2734,93
2735,111
2736,111
2737,111
2738,111
2739,111
2740,111
2741,87
2742,87
2743,87
2744,124
2745,124
2746,124
2747,126
2748,126
2749,126
2750,107
2751,107
2752,107
2753,107
2754,88
2755,88
2756,88
2757,88
2758,88
2759,119
2760,119
2761,119
2762,119
2763,119
2764,119
2765,113
2766,113
2767,113
2768,113
2769,113
2770,118
2771,118
2772,118
2773,118
2774,109
2775,109
2776,109
2777,76
2778,76
2779,76
2780,76
2781,76
2782,76
2783,76
2784,94
2785,94
2786,94
2787,94
2788,94
2789,94
2790,112
2791,112
2792,112
2793,112
2794,112
2795,112
2796,112
2797,112
2798,112
2799,112
2800,112
2801,83
2802,83
2803,83
2804,72
2805,72
2806,72
2807,72
2808,72
2809,72
2810,130
2811,130
2812,130
2813,130
2814,130
2815,130
2816,130
2817,1
2818,1
2819,1
2820,1
2821,19
2822,19
2823,19
2824,19
2825,46
2826,46
2827,46
2828,46
2829,12
2830,12
2831,12
2832,12
2833,27
2834,27
2835,27
2836,27
2837,43
2838,43
2839,43
2840,43
2841,43
2842,43
2843,42
2844,42
2845,42
2846,33
2847,33
2848,33
2849,33
2850,33
2851,47
2852,47
2853,47
2854,47
2855,47
2856,47
2857,39
2858,39
2859,39
2860,39
2861,57
2862,57
2863,57
2864,57
2865,51
2866,51
2867,51
2868,51
2869,51
2870,187
2871,187
2872,187
2873,187
2874,149
2875,149
2876,149
2877,173
2878,173
2879,173
2880,173
2881,145
2882,145
2883,145
2884,145
2885,185
2886,185
2887,185
2888,178
2889,178
2890,178
2891,154
2892,154
2893,154
2894,154
2895,168
2896,168
2897,168
2898,168
2899,181
2900,181
2901,181
2902,22
2903,22
2904,22
2905,56
2906,56
2907,56
2908,55
2909,55
2910,55
2911,36
2912,36
2913,36
2914,41
2915,41
2916,41
2917,139
2918,139
2919,139
2920,137
2921,137
2922,137
2923,147
2924,147
2925,147
2926,167
2927,167
2928,167
2929,103
2930,103
2931,103
2932,103
2933,103
2934,103
2935,103
2936,103
2937,103
2938,103
2939,69
2940,69
2941,69
2942,69
2943,69
2944,69
2945,127
2946,127
2947,127
2948,127
2949,127
2950,127
2951,79
2952,79
2953,79
2954,79
2955,75
2956,75
2957,75
2958,75
2959,104
2960,104
2961,104
2962,104
2963,114
2964,114
2965,114
2966,114
2967,114
2968,125
2969,125
2970,125
2971,115
2972,115
2973,115
2974,91
2975,91
2976,91
2977,129
2978,129
2979,129
2980,84
2981,84
2982,84
2983,110
2984,110
2985,110
2986,97
2987,97
2988,97
2989,199
2990,199
2991,199
2992,199
2993,199
2994,199
2995,191
2996,191
2997,191
